gene_id	protein_id
G4P62_003795	KAF7229882.1
G4P62_003794	KAF7229880.1
G4P62_003794	KAF7229881.1
G4P62_003793	KAF7229878.1
G4P62_003793	KAF7229879.1
G4P62_003792	KAF7229876.1
G4P62_003792	KAF7229877.1
G4P62_003791	KAF7229875.1
G4P62_019611	KAF7231737.1
G4P62_003803	KAF7229890.1
G4P62_003803	KAF7229891.1
G4P62_003803	KAF7229892.1
G4P62_003803	KAF7229893.1
G4P62_003803	KAF7229894.1
G4P62_003805	KAF7229895.1
G4P62_003806	KAF7229896.1
G4P62_003806	KAF7229897.1
G4P62_003806	KAF7229898.1
G4P62_003806	KAF7229899.1
G4P62_003807	KAF7229900.1
G4P62_003807	KAF7229901.1
G4P62_003808	KAF7229902.1
G4P62_003809	KAF7229903.1
G4P62_003810	KAF7229904.1
G4P62_003811	KAF7229905.1
G4P62_003812	KAF7229906.1
G4P62_003813	KAF7229907.1
G4P62_003813	KAF7229908.1
G4P62_003814	KAF7229909.1
G4P62_003815	KAF7229910.1
G4P62_003816	KAF7229911.1
G4P62_003816	KAF7229912.1
G4P62_003816	KAF7229913.1
G4P62_003817	KAF7229914.1
G4P62_003817	KAF7229915.1
G4P62_003817	KAF7229916.1
G4P62_003822	KAF7229921.1
G4P62_003818	KAF7229917.1
G4P62_003819	KAF7229918.1
G4P62_003820	KAF7229919.1
G4P62_003821	KAF7229920.1
G4P62_019815	KAF7231754.1
G4P62_003823	KAF7229922.1
G4P62_003824	KAF7229923.1
G4P62_003824	KAF7229924.1
G4P62_003825	KAF7229925.1
G4P62_003826	KAF7229926.1
G4P62_003827	KAF7229927.1
G4P62_003828	KAF7229928.1
G4P62_003829	KAF7229929.1
G4P62_003829	KAF7229930.1
G4P62_003831	KAF7229931.1
G4P62_003832	KAF7229932.1
G4P62_003832	KAF7229933.1
G4P62_003832	KAF7229934.1
G4P62_003833	KAF7229935.1
G4P62_003834	KAF7229936.1
G4P62_003883	KAF7230021.1
G4P62_003884	KAF7230022.1
G4P62_003884	KAF7230023.1
G4P62_003885	KAF7230024.1
G4P62_003885	KAF7230025.1
G4P62_003885	KAF7230026.1
G4P62_003885	KAF7230027.1
G4P62_003886	KAF7230028.1
G4P62_003887	KAF7230029.1
G4P62_003888	KAF7230030.1
G4P62_003889	KAF7230031.1
G4P62_003890	KAF7230032.1
G4P62_003891	KAF7230033.1
G4P62_003891	KAF7230034.1
G4P62_003891	KAF7230035.1
G4P62_003892	KAF7230036.1
G4P62_003892	KAF7230037.1
G4P62_003892	KAF7230038.1
G4P62_003892	KAF7230039.1
G4P62_003893	KAF7230040.1
G4P62_003895	KAF7230041.1
G4P62_003896	KAF7230042.1
G4P62_003897	KAF7230043.1
G4P62_003898	KAF7230044.1
G4P62_003898	KAF7230045.1
G4P62_003898	KAF7230046.1
G4P62_003898	KAF7230047.1
G4P62_003899	KAF7230048.1
G4P62_003900	KAF7230049.1
G4P62_003901	KAF7230050.1
G4P62_003901	KAF7230051.1
G4P62_003902	KAF7230052.1
G4P62_003881	KAF7230020.1
G4P62_003880	KAF7230012.1
G4P62_003880	KAF7230011.1
G4P62_003880	KAF7230010.1
G4P62_003880	KAF7230013.1
G4P62_003880	KAF7230019.1
G4P62_003880	KAF7230018.1
G4P62_003880	KAF7230017.1
G4P62_003880	KAF7230016.1
G4P62_003880	KAF7230015.1
G4P62_003880	KAF7230014.1
G4P62_003879	KAF7230009.1
G4P62_003878	KAF7230008.1
G4P62_003877	KAF7230006.1
G4P62_003877	KAF7230005.1
G4P62_003877	KAF7230007.1
G4P62_003876	KAF7230004.1
G4P62_003876	KAF7230003.1
G4P62_003875	KAF7230002.1
G4P62_003874	KAF7229999.1
G4P62_003874	KAF7229998.1
G4P62_003874	KAF7230001.1
G4P62_003874	KAF7230000.1
G4P62_003873	KAF7229997.1
G4P62_003872	KAF7229996.1
G4P62_003871	KAF7229993.1
G4P62_003871	KAF7229995.1
G4P62_003871	KAF7229994.1
G4P62_003869	KAF7229991.1
G4P62_003868	KAF7229990.1
G4P62_003867	KAF7229986.1
G4P62_003867	KAF7229987.1
G4P62_003867	KAF7229988.1
G4P62_003867	KAF7229989.1
G4P62_003866	KAF7229985.1
G4P62_003866	KAF7229984.1
G4P62_003865	KAF7229983.1
G4P62_003865	KAF7229982.1
G4P62_003864	KAF7229981.1
G4P62_003863	KAF7229980.1
G4P62_003862	KAF7229979.1
G4P62_003861	KAF7229978.1
G4P62_003860	KAF7229977.1
G4P62_003859	KAF7229974.1
G4P62_003859	KAF7229973.1
G4P62_003859	KAF7229975.1
G4P62_003859	KAF7229976.1
G4P62_003858	KAF7229971.1
G4P62_003858	KAF7229972.1
G4P62_003857	KAF7229970.1
G4P62_003857	KAF7229969.1
G4P62_003856	KAF7229967.1
G4P62_003856	KAF7229968.1
G4P62_003855	KAF7229965.1
G4P62_003855	KAF7229966.1
G4P62_003854	KAF7229960.1
G4P62_003854	KAF7229962.1
G4P62_003854	KAF7229963.1
G4P62_003854	KAF7229964.1
G4P62_003854	KAF7229961.1
G4P62_003853	KAF7229959.1
G4P62_003852	KAF7229958.1
G4P62_003851	KAF7229957.1
G4P62_003850	KAF7229956.1
G4P62_003849	KAF7229955.1
G4P62_003848	KAF7229954.1
G4P62_003848	KAF7229953.1
G4P62_003847	KAF7229952.1
G4P62_003846	KAF7229951.1
G4P62_003845	KAF7229950.1
G4P62_003844	KAF7229948.1
G4P62_003844	KAF7229949.1
G4P62_003843	KAF7229946.1
G4P62_003843	KAF7229947.1
G4P62_003842	KAF7229945.1
G4P62_003841	KAF7229944.1
G4P62_003840	KAF7229943.1
